feature,gain
V258,811884.5753631592
V294,428574.8821258545
C14,396041.9799499512
P_emaildomain,255301.9842224121
C4,220047.58058929443
card1,205985.80211639404
C13,201163.59562683105
TransactionAmt,200010.2102508545
card2,188995.3927001953
C1,178462.53183746338
DeviceInfo,171737.57345581055
id_31,170200.90212249756
V70,160298.5445022583
addr1,131799.94102478027
card6,123176.5326538086
D15,114842.78678131104
R_emaildomain,110146.50945281982
D1,92099.69409179688
id_30,91551.45489501953
D2,89881.04927062988
V90,89212.59795379639
D3,83509.60321044922
card5,82781.54350280762
C5,81445.33166503906
V91,79983.70802307129
id_33,79166.52529907227
C11,76348.97200775146
D10,75583.4412765503
C2,71434.95840454102
dist1,70721.82294464111
V312,67810.89722442627
D4,64493.776206970215
V308,52628.5500793457
D11,49779.74954986572
card3,49625.262382507324
C6,48429.554138183594
V283,44343.47142791748
M6,38828.210205078125
ProductCD,37889.55350494385
C9,37321.47706604004
id_02,37267.8828125
M5,37032.30547332764
V310,36966.66067504883
V317,35340.35411071777
V314,33068.54644012451
V315,30075.834182739258
V336,29033.46258544922
D8,28199.134559631348
M4,26658.656227111816
V62,25725.949729919434
V309,22271.209182739258
V45,20333.961044311523
card4,18394.261268615723
V83,17997.251762390137
id_20,17659.362190246582
id_14,17346.589477539062
D5,17299.061599731445
V243,17082.117141723633
V29,16304.375343322754
V307,16293.730834960938
V87,16196.990036010742
V320,15628.091934204102
V313,15556.298851013184
C8,15446.08763885498
V54,14719.261138916016
V82,14575.156494140625
M3,14514.41714477539
V35,13839.405288696289
C10,13523.25732421875
V281,13207.155059814453
V189,13094.513107299805
V53,12689.226058959961
V285,12676.58869934082
V61,12123.660102844238
V282,11959.757987976074
C12,11908.909439086914
V20,11579.356224060059
id_09,11436.846977233887
V130,11172.221008300781
V75,11061.079856872559
V257,11048.884902954102
V13,11014.363243103027
id_06,11004.263000488281
V136,10563.259704589844
M8,10172.78044128418
M9,10138.668472290039
V12,10094.948280334473
V67,10092.804954528809
V49,9935.095001220703
V162,9536.35285949707
V201,9461.159118652344
V96,9283.109184265137
V76,8971.528205871582
V324,8622.741989135742
V187,8505.339080810547
V133,8225.442985534668
V19,8070.834991455078
V99,8061.239059448242
id_16,7930.654739379883
V156,7901.5169677734375
V38,7896.573600769043
V102,7800.086975097656
id_05,7756.719215393066
V128,7507.802047729492
V311,7272.112342834473
V2,7247.720718383789
V127,7222.762336730957
id_19,7202.745254516602
D13,6938.6135330200195
V177,6816.812202453613
V169,6775.693565368652
V165,6670.060188293457
V296,6535.7168045043945
V55,6515.345672607422
V298,6450.349166870117
V129,6434.073867797852
id_01,6383.634704589844
V56,6345.543411254883
dist2,6305.464805603027
V36,6105.5260009765625
id_13,5775.329624176025
V244,5774.125915527344
V4,5697.08012008667
V86,5675.359535217285
V131,5623.2443923950195
id_18,5609.189781188965
id_03,5585.685203552246
V78,5467.313529968262
M2,5458.063285827637
D12,5392.957817077637
V37,5304.505180358887
V30,5298.427993774414
id_38,5167.819915771484
V44,5112.154479980469
M7,4720.098480224609
id_17,4561.010223388672
V291,4313.670677185059
V79,4253.608901977539
D14,4161.3271408081055
V318,4140.774345397949
V149,4127.265007019043
V141,4092.239990234375
V48,4059.2024536132812
D9,3949.963897705078
