t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.02,0.02,105162.015,595303917.2179999,0.0,595409079.2329999,-537468660.6729999,0.9950787401574803,0,107463,0.0,0.909870626883869,0,103419
0.02,0.04,132797.40675,522631499.26175994,93920.0,522858216.66850996,-464917798.10850996,0.9940083661417323,18784,88679,0.15904087784062046,0.7508297490432485,18755,84664
0.02,0.06,208723.55099999998,463108665.56000006,164680.0,463482069.11100006,-405541650.55100006,0.992310531496063,32936,74527,0.2788634131472889,0.6310072137365801,32861,70558
0.02,0.08,278627.1045,415603484.78636,216190.0,416098301.89086,-358157883.33086,0.9906496062992126,43238,64225,0.36608866461205,0.543781962271819,43118,60301
0.02,0.1,379063.53900000005,376022318.19163996,256015.0,376657396.73063993,-318716978.17063993,0.9885088582677166,51203,56260,0.4335269414434247,0.47634368544044436,51025,52394
0.02,0.12000000000000001,501408.63375,340109688.94036,288640.0,340899737.57411003,-282959319.01411,0.9868110236220473,57728,49735,0.4887729874352288,0.4210976394486402,57504,45915
0.02,0.13999999999999999,579562.92225,310010283.53111994,314895.0,310904741.4533699,-252964322.8933699,0.9848548228346456,62979,44484,0.5332322958648017,0.3766383310190673,62702,40717
0.02,0.16,642239.871,282535992.65808,337125.0,283515357.52908,-225574938.96907997,0.9828986220472441,67425,40038,0.5708758085819758,0.3389948183018932,67095,36324
0.02,0.18,719499.8047499999,259879514.41628,355530.0,260954544.22103,-203014125.66103,0.9812376968503937,71106,36357,0.602042198665628,0.3078284282182409,70731,32688
0.02,0.19999999999999998,819392.82675,238394801.82312,371560.0,239585754.64987,-181645336.08987,0.9794660433070866,74312,33151,0.6291868459376164,0.28068378094625257,73889,29530
0.02,0.22,916999.389,219404290.53080004,385390.0,220706679.91980004,-162766261.35980004,0.9778051181102363,77078,30385,0.6526060893419582,0.2572645375419108,76610,26809
0.02,0.24,1060300.8667499998,203958168.94136,397130.0,205415599.80811,-147475181.24811,0.9761811023622047,79426,28037,0.6724861990720358,0.23738442781183325,78914,24505
0.02,0.26,1130689.16775,190379464.50116,407500.0,191917653.66891,-133977235.10891,0.9748892716535432,81500,25963,0.6900463982118061,0.21982422867206286,80953,22466
0.02,0.28,1224730.0004999998,177175553.57636,417225.0,178817508.57685998,-120877090.01685998,0.9732652559055118,83445,24018,0.7065143766721983,0.20335625021167067,82854,20565
0.02,0.30000000000000004,1351672.0597499998,166555260.80159998,425755.0,168332687.86134997,-110392269.30134997,0.9714197834645669,85151,22312,0.7209587834863007,0.18891184339756834,84510,18909
0.02,0.32,1550623.3005,155513366.73544002,433785.0,157497775.03594002,-99557356.47594002,0.9689837598425196,86757,20706,0.7345565076032107,0.17531411928065838,86050,17369
0.02,0.34,1660576.67025,145799908.63196,441155.0,147901640.30221,-89961221.74221,0.9672859251968504,88231,19232,0.7470366105598266,0.1628340163240424,87478,15941
0.02,0.36000000000000004,1781880.6134999995,137426578.91264,447485.0,139655944.52614,-81715525.96614,0.9655511811023622,89497,17966,0.7577556135062824,0.15211501337758662,88697,14722
0.02,0.38,1855849.9964999997,129863561.08556,453305.0,132172716.08206,-74232297.52205999,0.9641486220472442,90661,16802,0.7676110001016019,0.14225962678226708,89823,13596
0.02,0.4,1940195.4262499998,122740927.09392002,458825.0,125139947.52017002,-67199528.96017002,0.962376968503937,91765,15698,0.776958377078606,0.13291224980526298,90879,12540
0.02,0.42000000000000004,2062023.2557499998,116991777.56060001,463700.0,119517500.81635001,-61577082.25635001,0.960568405511811,92740,14723,0.7852135333762319,0.12465709350763708,91805,11614
0.02,0.44,2151666.6217499995,110872700.68132001,468590.0,113492957.30307001,-55552538.74307001,0.9585383858267716,93718,13745,0.7934940901547736,0.1163765367290954,92728,10691
0.02,0.46,2329652.436,105187824.87248,473145.0,107990622.30848001,-50050203.74848001,0.9562130905511812,94629,12834,0.8012073695261963,0.10866325735767264,93576,9843
0.02,0.48000000000000004,2425597.1572499997,100372583.45308,477215.0,103275395.61033,-45334977.05033,0.9542199803149606,95443,12020,0.8080993666813425,0.1017712602025265,94336,9083
0.02,0.5,2565467.832,95532466.7282,481175.0,98579109.5602,-40638691.0002,0.9517101377952756,96235,11228,0.8148050936431063,0.0950655332407627,95060,8359
0.02,0.52,2699486.898,90101293.05156001,485030.0,93285809.94956002,-35345391.389560014,0.9496432086614173,97006,10457,0.8213330172384598,0.08853760964540928,95775,7644
0.02,0.54,2856509.7795,85158467.62644002,488690.0,88503667.40594003,-30563248.845940024,0.9470595472440945,97738,9725,0.8275307345819081,0.08233989230196091,96437,6982
0.02,0.56,3051891.97725,80761198.50704001,492180.0,84305270.48429,-26364851.92429,0.9445866141732284,98436,9027,0.833440579808311,0.07643004707555796,97068,6351
0.02,0.5800000000000001,3260119.2644999996,76631270.75188,495280.0,80386670.01638001,-22446251.45638001,0.9421136811023622,99056,8407,0.8386900125309039,0.07118061435296508,97621,5798
0.02,0.6,3404706.9240000006,72805451.99803999,498105.0,76708263.92203999,-18767845.362039983,0.9398622047244094,99621,7842,0.843473769770041,0.06639685711382802,98125,5294
0.02,0.62,3540381.318,69007354.20264,501000.0,73048735.52064,-15108316.960639998,0.9373892716535434,100200,7263,0.848376062586785,0.061494564297084026,98637,4782
0.02,0.64,3708458.4352499996,65887661.51036,503635.0,70099754.94561,-12159336.38561,0.9348794291338582,100727,6736,0.852838080400989,0.05703254648288007,99096,4323
0.02,0.66,3892882.4467499997,62397535.73284,506315.0,66796733.17959,-8856314.61959,0.9321481299212598,101263,6200,0.8573762996579402,0.05249432722592881,99558,3861
0.02,0.68,4025893.9057499995,58860377.0972,508755.0,63395026.00295,-5454607.442949995,0.9300812007874015,101751,5712,0.8615081112202391,0.048362515663629896,99990,3429
0.02,0.7000000000000001,4276149.308999999,55544198.81204,511365.0,60331713.12104,-2391294.561039999,0.9270915354330708,102273,5190,0.8659277948995834,0.04394283198428557,100431,2988
0.02,0.7200000000000001,4512571.236,52414761.72644,513745.0,57441077.96244,499340.5975600034,0.9238065944881889,102749,4714,0.8699580045382193,0.03991262234564975,100818,2601
0.02,0.74,4759559.31,49394087.82179999,515860.0,54669507.131799996,3270911.4282000065,0.9208907480314961,103172,4291,0.8735394723473431,0.03633115453652589,101162,2257
0.02,0.76,5024680.876499999,46533268.00771999,518085.0,52076033.88421999,5864384.675780013,0.9175319881889764,103617,3846,0.8773072103498493,0.03256341653401971,101516,1903
0.02,0.78,5300542.75725,44070131.86396,519900.0,49890574.621209994,8049843.938790008,0.914431594488189,103980,3483,0.8803806685406577,0.0294899583432113,101795,1624
0.02,0.8,5532225.650249999,41833291.078360006,521820.0,47887336.72861001,10053081.831389993,0.9111097440944882,104364,3099,0.8836319300978766,0.026238696785992482,102089,1330
0.02,0.8200000000000001,5773636.79925,39996909.22256,523455.0,46294001.02181,11646417.53819,0.9081200787401574,104691,2772,0.8864005825176957,0.023470044366173334,102335,1084
0.02,0.8400000000000001,6068661.6532499995,38051697.45316,525120.0,44645479.106410004,13294939.453589998,0.9048351377952756,105024,2439,0.8892200358993464,0.02065059098452264,102579,840
0.02,0.86,6350457.173999999,36184706.5514,526715.0,43061878.7254,14878539.834600002,0.9007750984251969,105343,2120,0.8919209537033901,0.017949673180478885,102788,631
0.02,0.88,6625189.160999999,35079356.2674,527915.0,42232460.428399995,15707958.131600007,0.8977485236220472,105583,1880,0.8939529921766519,0.01591763470721712,102946,473
0.02,0.9,6957636.683249999,34155978.40304,529110.0,41642725.08629,16297693.47371,0.8936884842519685,105822,1641,0.8959765638229417,0.013894063060927287,103075,344
0.02,0.92,7104744.1695,33355505.202920005,530105.0,40990354.372420006,16950064.187579997,0.889886811023622,106021,1442,0.8976614623903546,0.01220916449351441,103171,248
