t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.02,0.02,105162.015,266626258.60899997,0.0,266731420.62399995,-208791002.06399995,0.9950787401574803,0,107463,0.0,0.909870626883869,0,103419
0.02,0.04,132797.40675,235781513.63087997,93920.0,236008231.03762996,-178067812.47762996,0.9940083661417323,18784,88679,0.15904087784062046,0.7508297490432485,18755,84664
0.02,0.06,208723.55099999998,210150333.58000004,164680.0,210523737.13100004,-152583318.57100004,0.992310531496063,32936,74527,0.2788634131472889,0.6310072137365801,32861,70558
0.02,0.08,278627.1045,189400992.79318002,216190.0,189895809.89768,-131955391.33768001,0.9906496062992126,43238,64225,0.36608866461205,0.543781962271819,43118,60301
0.02,0.1,379063.53900000005,171925579.09581998,256015.0,172560657.63481998,-114620239.07481998,0.9885088582677166,51203,56260,0.4335269414434247,0.47634368544044436,51025,52394
0.02,0.12000000000000001,501408.63375,155866315.67018,288640.0,156656364.30392998,-98715945.74392998,0.9868110236220473,57728,49735,0.4887729874352288,0.4210976394486402,57504,45915
0.02,0.13999999999999999,579562.92225,142338587.36556,314895.0,143233045.28781,-85292626.72781,0.9848548228346456,62979,44484,0.5332322958648017,0.3766383310190673,62702,40717
0.02,0.16,642239.871,129887712.32904,337125.0,130867077.20004001,-72926658.64004001,0.9828986220472441,67425,40038,0.5708758085819758,0.3389948183018932,67095,36324
0.02,0.18,719499.8047499999,119624094.00814,355530.0,120699123.81289,-62758705.25288999,0.9812376968503937,71106,36357,0.602042198665628,0.3078284282182409,70731,32688
0.02,0.19999999999999998,819392.82675,109806400.11156,371560.0,110997352.93831,-53056934.378309995,0.9794660433070866,74312,33151,0.6291868459376164,0.28068378094625257,73889,29530
0.02,0.22,916999.389,101107853.26540002,385390.0,102410242.65440002,-44469824.09440002,0.9778051181102363,77078,30385,0.6526060893419582,0.2572645375419108,76610,26809
0.02,0.24,1060300.8667499998,94059403.67068,397130.0,95516834.53743,-37576415.97743,0.9761811023622047,79426,28037,0.6724861990720358,0.23738442781183325,78914,24505
0.02,0.26,1130689.16775,87867070.65057999,407500.0,89405259.81832999,-31464841.258329988,0.9748892716535432,81500,25963,0.6900463982118061,0.21982422867206286,80953,22466
0.02,0.28,1224730.0004999998,81821727.98818,417225.0,83463682.98867999,-25523264.428679988,0.9732652559055118,83445,24018,0.7065143766721983,0.20335625021167067,82854,20565
0.02,0.30000000000000004,1351672.0597499998,76996458.40079999,425755.0,78773885.46055,-20833466.900549993,0.9714197834645669,85151,22312,0.7209587834863007,0.18891184339756834,84510,18909
0.02,0.32,1550623.3005,71926423.36772001,433785.0,73910831.66822001,-15970413.108220011,0.9689837598425196,86757,20706,0.7345565076032107,0.17531411928065838,86050,17369
0.02,0.34,1660576.67025,67487812.71598001,441155.0,69589544.38623,-11649125.826230004,0.9672859251968504,88231,19232,0.7470366105598266,0.1628340163240424,87478,15941
0.02,0.36000000000000004,1781880.6134999995,63658071.056320004,447485.0,65887436.66982,-7947018.109820001,0.9655511811023622,89497,17966,0.7577556135062824,0.15211501337758662,88697,14722
0.02,0.38,1855849.9964999997,60206254.94278,453305.0,62515409.93928,-4574991.379280001,0.9641486220472442,90661,16802,0.7676110001016019,0.14225962678226708,89823,13596
0.02,0.4,1940195.4262499998,56954134.746960014,458825.0,59353155.17321002,-1412736.613210015,0.962376968503937,91765,15698,0.776958377078606,0.13291224980526298,90879,12540
0.02,0.42000000000000004,2062023.2557499998,54350692.780300006,463700.0,56876416.03605001,1064002.5239499956,0.960568405511811,92740,14723,0.7852135333762319,0.12465709350763708,91805,11614
0.02,0.44,2151666.6217499995,51561408.740660004,468590.0,54181665.36241,3758753.197590001,0.9585383858267716,93718,13745,0.7934940901547736,0.1163765367290954,92728,10691
0.02,0.46,2329652.436,48967265.23624,473145.0,51770062.67224,6170355.887760006,0.9562130905511812,94629,12834,0.8012073695261963,0.10866325735767264,93576,9843
0.02,0.48000000000000004,2425597.1572499997,46782172.52654,477215.0,49684984.683790006,8255433.876209997,0.9542199803149606,95443,12020,0.8080993666813425,0.1017712602025265,94336,9083
0.02,0.5,2565467.832,44574101.3641,481175.0,47620744.196100004,10319674.363899998,0.9517101377952756,96235,11228,0.8148050936431063,0.0950655332407627,95060,8359
0.02,0.52,2699486.898,42067866.52578001,485030.0,45252383.42378001,12688035.136219993,0.9496432086614173,97006,10457,0.8213330172384598,0.08853760964540928,95775,7644
0.02,0.54,2856509.7795,39790287.41322,488690.0,43135487.19272,14804931.367279999,0.9470595472440945,97738,9725,0.8275307345819081,0.08233989230196091,96437,6982
0.02,0.56,3051891.97725,37776409.65352,492180.0,41320481.630770005,16619936.929229997,0.9445866141732284,98436,9027,0.833440579808311,0.07643004707555796,97068,6351
0.02,0.5800000000000001,3260119.2644999996,35873364.17594001,495280.0,39628763.44044001,18311655.119559996,0.9421136811023622,99056,8407,0.8386900125309039,0.07118061435296508,97621,5798
0.02,0.6,3404706.9240000006,34108025.999019995,498105.0,38010837.92302,19929580.636980005,0.9398622047244094,99621,7842,0.843473769770041,0.06639685711382802,98125,5294
0.02,0.62,3540381.318,32358890.70132,501000.0,36400272.019319996,21540146.540680006,0.9373892716535434,100200,7263,0.848376062586785,0.061494564297084026,98637,4782
0.02,0.64,3708458.4352499996,30933439.555180002,503635.0,35145532.990430005,22794885.569569997,0.9348794291338582,100727,6736,0.852838080400989,0.05703254648288007,99096,4323
0.02,0.66,3892882.4467499997,29323650.266420003,506315.0,33722847.71317001,24217570.846829996,0.9321481299212598,101263,6200,0.8573762996579402,0.05249432722592881,99558,3861
0.02,0.68,4025893.9057499995,27681560.5486,508755.0,32216209.45435,25724209.105650004,0.9300812007874015,101751,5712,0.8615081112202391,0.048362515663629896,99990,3429
0.02,0.7000000000000001,4276149.308999999,26152596.206019998,511365.0,30940110.515019998,27000308.044980004,0.9270915354330708,102273,5190,0.8659277948995834,0.04394283198428557,100431,2988
0.02,0.7200000000000001,4512571.236,24701191.26322,513745.0,29727507.49922,28212911.060780004,0.9238065944881889,102749,4714,0.8699580045382193,0.03991262234564975,100818,2601
0.02,0.74,4759559.31,23291577.5109,515860.0,28566996.820899997,29373421.739100005,0.9208907480314961,103172,4291,0.8735394723473431,0.03633115453652589,101162,2257
0.02,0.76,5024680.876499999,21964818.803859998,518085.0,27507584.680359997,30432833.879640006,0.9175319881889764,103617,3846,0.8773072103498493,0.03256341653401971,101516,1903
0.02,0.78,5300542.75725,20814941.93198,519900.0,26635384.68923,31305033.870770004,0.914431594488189,103980,3483,0.8803806685406577,0.0294899583432113,101795,1624
0.02,0.8,5532225.650249999,19782604.739180002,521820.0,25836650.38943,32103768.17057,0.9111097440944882,104364,3099,0.8836319300978766,0.026238696785992482,102089,1330
0.02,0.8200000000000001,5773636.79925,18936442.61128,523455.0,25233534.41053,32706884.14947,0.9081200787401574,104691,2772,0.8864005825176957,0.023470044366173334,102335,1084
0.02,0.8400000000000001,6068661.6532499995,18035279.92658,525120.0,24629061.57983,33311356.980170004,0.9048351377952756,105024,2439,0.8892200358993464,0.02065059098452264,102579,840
0.02,0.86,6350457.173999999,17162979.675699998,526715.0,24040151.849699996,33900266.710300006,0.9007750984251969,105343,2120,0.8919209537033901,0.017949673180478885,102788,631
0.02,0.88,6625189.160999999,16656566.933699995,527915.0,23809671.094699994,34130747.46530001,0.8977485236220472,105583,1880,0.8939529921766519,0.01591763470721712,102946,473
0.02,0.9,6957636.683249999,16232649.201520002,529110.0,23719395.88477,34221022.675230004,0.8936884842519685,105822,1641,0.8959765638229417,0.013894063060927287,103075,344
0.02,0.92,7104744.1695,15860521.401460001,530105.0,23495370.57096,34445047.98904,0.889886811023622,106021,1442,0.8976614623903546,0.01220916449351441,103171,248
0.02,0.9400000000000001,7373202.755999999,15626701.88656,531130.0,23531034.642559998,34409383.917440005,0.8852362204724409,106226,1237,0.8993971619195991,0.01047346496426999,103250,169
0.02,0.9600000000000001,7654249.18425,15542054.047960002,532185.0,23728488.232210003,34211930.32779,0.8795152559055118,106437,1026,0.9011836624106749,0.008686964473194026,103306,113
0.02,0.98,8106110.734499998,15489762.963879999,534320.0,24130193.698379997,33810224.86162001,0.8659694881889763,106864,599,0.9047989975276866,0.005071629356182477,103366,53
0.04,0.04,289397.96,233920441.61099997,0.0,234209839.57099998,-176269421.01099998,0.9879429133858267,0,88679,0.0,0.7508297490432485,0,84664
0.04,0.06,365324.10425000003,208289261.56012005,70760.0,208725345.66437006,-150784927.10437006,0.9862450787401574,14152,74527,0.11982253530666848,0.6310072137365801,14106,70558
0.04,0.08,435227.65775,187539920.77330002,122270.0,188097418.43105003,-130156999.87105003,0.9845841535433071,24454,64225,0.20704778677142954,0.543781962271819,24363,60301
0.04,0.1,535664.09225,170064507.07593998,162095.0,170762266.16818997,-112821847.60818997,0.9824434055118111,32419,56260,0.2744860636028042,0.47634368544044436,32270,52394
0.04,0.12000000000000001,658009.1869999999,154005243.6503,194720.0,154857972.8373,-96917554.2773,0.9807455708661418,38944,49735,0.3297321095946083,0.4210976394486402,38749,45915
0.04,0.13999999999999999,736163.4755,140477515.34567997,220975.0,141434653.82117996,-83494235.26117995,0.9787893700787402,44195,44484,0.37419141802418127,0.3766383310190673,43947,40717
0.04,0.16,798840.4242499999,128026640.30916,243205.0,129068685.73341,-71128267.17341,0.9768331692913386,48641,40038,0.41183493074135535,0.3389948183018932,48340,36324
0.04,0.18,876100.358,117763021.98826,261610.0,118900732.34626,-60960313.786259994,0.9751722440944882,52322,36357,0.4430013208250076,0.3078284282182409,51976,32688
0.04,0.19999999999999998,975993.3799999999,107945328.09168,277640.0,109198961.47168,-51258542.91168,0.9734005905511811,55528,33151,0.470145968096996,0.28068378094625257,55134,29530
0.04,0.22,1073599.94225,99246781.24552001,291470.0,100611851.18777001,-42671432.62777001,0.9717396653543308,58294,30385,0.49356521150133775,0.2572645375419108,57855,26809
0.04,0.24,1216901.4200000002,92198331.6508,303210.0,93718443.0708,-35778024.510800004,0.9701156496062993,60642,28037,0.5134453212314153,0.23738442781183325,60159,24505
0.04,0.26,1287289.721,86005998.63069999,313580.0,87606868.3517,-29666449.79169999,0.9688238188976378,62716,25963,0.5310055203711856,0.21982422867206286,62198,22466
0.04,0.28,1381330.55375,79960655.9683,323305.0,81665291.52205,-23724872.96204999,0.9671998031496063,64661,24018,0.5474734988315779,0.20335625021167067,64099,20565
0.04,0.30000000000000004,1508272.613,75135386.38092,331835.0,76975493.99392,-19035075.433919996,0.9653543307086614,66367,22312,0.5619179056456802,0.18891184339756834,65755,18909
0.04,0.32,1707223.85375,70065351.34784,339865.0,72112440.20159,-14172021.64159,0.9629183070866142,67973,20706,0.5755156297625902,0.17531411928065838,67295,17369
0.04,0.34,1817177.2234999998,65626740.696100004,347235.0,67791152.91960001,-9850734.359600008,0.9612204724409449,69447,19232,0.5879957327192061,0.1628340163240424,68723,15941
0.04,0.36000000000000004,1938481.16675,61796999.03644,353565.0,64089045.20319,-6148626.6431899965,0.9594857283464566,70713,17966,0.5987147356656619,0.15211501337758662,69942,14722
0.04,0.38,2012450.54975,58345182.9229,359385.0,60717018.47265,-2776599.9126499966,0.9580831692913386,71877,16802,0.6085701222609815,0.14225962678226708,71068,13596
0.04,0.4,2096795.9794999997,55093062.72708001,364905.0,57554763.70658001,385654.85341998935,0.9563115157480314,72981,15698,0.6179174992379856,0.13291224980526298,72124,12540
0.04,0.42000000000000004,2218623.809,52489620.76042001,369780.0,55078024.56942001,2862393.9905799925,0.9545029527559055,73956,14723,0.6261726555356115,0.12465709350763708,73050,11614
0.04,0.44,2308267.175,49700336.72078,374670.0,52383273.89578,5557144.664220005,0.9524729330708661,74934,13745,0.6344532123141532,0.1163765367290954,73973,10691
0.04,0.46,2486252.98925,47106193.21636,379225.0,49971671.20561,7968747.354390003,0.9501476377952757,75845,12834,0.6421664916855759,0.10866325735767264,74821,9843
0.04,0.48000000000000004,2582197.7105,44921100.50666,383295.0,47886593.21716,10053825.342840001,0.9481545275590552,76659,12020,0.649058488840722,0.1017712602025265,75581,9083
0.04,0.5,2722068.38525,42713029.344220005,387255.0,45822352.72947001,12118065.830529995,0.94564468503937,77451,11228,0.6557642158024859,0.0950655332407627,76305,8359
0.04,0.52,2856087.4512499995,40206794.50590001,391110.0,43453991.95715001,14486426.60284999,0.9435777559055117,78222,10457,0.6622921393978393,0.08853760964540928,77020,7644
0.04,0.54,3013110.3327499996,37929215.39334001,394770.0,41337095.72609001,16603322.833909996,0.9409940944881889,78954,9725,0.6684898567412876,0.08233989230196091,77682,6982
0.04,0.56,3208492.5305,35915337.633640006,398260.0,39522090.16414001,18418328.395859994,0.9385211614173228,79652,9027,0.6743997019676906,0.07643004707555796,78313,6351
0.04,0.5800000000000001,3416719.81775,34012292.15606,401360.0,37830371.97381,20110046.58619,0.9360482283464566,80272,8407,0.6796491346902834,0.07118061435296508,78866,5798
0.04,0.6,3561307.4772499995,32246953.97914,404185.0,36212446.45639,21727972.10361,0.9337967519685039,80837,7842,0.6844328919294206,0.06639685711382802,79370,5294
0.04,0.62,3696981.87125,30497818.68144,407080.0,34601880.55269,23338538.007310003,0.9313238188976377,81416,7263,0.6893351847461645,0.061494564297084026,79882,4782
0.04,0.64,3865058.9884999995,29072367.5353,409715.0,33347141.5238,24593277.0362,0.9288139763779527,81943,6736,0.6937972025603685,0.05703254648288007,80341,4323
0.04,0.66,4049483.0,27462578.246540003,412395.0,31924456.246540003,26015962.31346,0.9260826771653543,82479,6200,0.6983354218173198,0.05249432722592881,80803,3861
0.04,0.68,4182494.459,25820488.52872,414835.0,30417817.987719998,27522600.572280005,0.924015748031496,82967,5712,0.7024672333796187,0.048362515663629896,81235,3429
0.04,0.7000000000000001,4432749.86225,24291524.18614,417445.0,29141719.04839,28798699.51161,0.9210260826771653,83489,5190,0.706886917058963,0.04394283198428557,81676,2988
0.04,0.7200000000000001,4669171.789249999,22840119.24334,419825.0,27929116.03259,30011302.52741,0.9177411417322834,83965,4714,0.7109171266975988,0.03991262234564975,82063,2601
0.04,0.74,4916159.86325,21430505.491019998,421940.0,26768605.354269996,31171813.205730006,0.9148252952755905,84388,4291,0.7144985945067227,0.03633115453652589,82407,2257
0.04,0.76,5181281.429749999,20103746.78398,424165.0,25709193.21373,32231225.346270002,0.9114665354330708,84833,3846,0.7182663325092289,0.03256341653401971,82761,1903
0.04,0.78,5457143.3105,18953869.912100002,425980.0,24836993.2226,33103425.3374,0.9083661417322835,85196,3483,0.7213397907000373,0.0294899583432113,83040,1624
0.04,0.8,5688826.203500001,17921532.7193,427900.0,24038258.922800004,33902159.6372,0.9050442913385827,85580,3099,0.7245910522572561,0.026238696785992482,83334,1330
0.04,0.8200000000000001,5930237.3525,17075370.5914,429535.0,23435142.9439,34505275.6161,0.9020546259842519,85907,2772,0.7273597046770752,0.023470044366173334,83580,1084
0.04,0.8400000000000001,6225262.2065,16174207.9067,431200.0,22830670.1132,35109748.4468,0.89876968503937,86240,2439,0.7301791580587259,0.02065059098452264,83824,840
0.04,0.86,6507057.727249999,15301907.655820003,432795.0,22241760.38307,35698658.17693,0.8947096456692913,86559,2120,0.7328800758627697,0.017949673180478885,84033,631
0.04,0.88,6781789.71425,14795494.913819999,433995.0,22011279.628069997,35929138.931930006,0.8916830708661416,86799,1880,0.7349121143360314,0.01591763470721712,84191,473
0.04,0.9,7114237.236500001,14371577.181639997,435190.0,21921004.418139998,36019414.14186001,0.8876230314960629,87038,1641,0.7369356859823213,0.013894063060927287,84320,344
0.04,0.92,7261344.72275,13999449.381580003,436185.0,21696979.104330003,36243439.45567,0.8838213582677165,87237,1442,0.7386205845497341,0.01220916449351441,84416,248
0.04,0.9400000000000001,7529803.309249999,13765629.866680002,437210.0,21732643.17593,36207775.38407,0.8791707677165354,87442,1237,0.7403562840789786,0.01047346496426999,84495,169
0.04,0.9600000000000001,7810849.737499999,13680982.028079998,438265.0,21930096.76558,36010321.794420004,0.8734498031496063,87653,1026,0.7421427845700546,0.008686964473194026,84551,113
0.04,0.98,8262711.287749999,13628690.944,440400.0,22331802.23175,35608616.328250006,0.8599040354330709,88080,599,0.7457581196870661,0.005071629356182477,84611,53
0.06,0.06,795572.255,206734263.25900003,0.0,207529835.51400003,-149589416.95400003,0.9766240157480315,0,74527,0.0,0.6310072137365801,0,70558
0.06,0.08,865475.8085,185984922.47218,51510.0,186901908.28068,-128961489.72068,0.9749630905511811,10302,64225,0.08722525146476107,0.543781962271819,10257,60301
0.06,0.1,965912.243,168509508.77481997,91335.0,169566756.01781997,-111626337.45781997,0.9728223425196851,18267,56260,0.15466352829613575,0.47634368544044436,18164,52394
0.06,0.12000000000000001,1088257.33775,152450245.34918,123960.0,153662462.68693,-95722044.12693,0.9711245078740157,24792,49735,0.20990957428793985,0.4210976394486402,24643,45915
0.06,0.13999999999999999,1166411.62625,138922517.04456,150215.0,140239143.67080998,-82298725.11080998,0.9691683070866142,30043,44484,0.2543688827175128,0.3766383310190673,29841,40717
0.06,0.16,1229088.575,126471642.00804,172445.0,127873175.58304,-69932757.02304,0.9672121062992126,34489,40038,0.2920123954346869,0.3389948183018932,34234,36324
0.06,0.18,1306348.50875,116208023.68714,190850.0,117705222.19589001,-59764803.63589001,0.9655511811023622,38170,36357,0.3231787855183392,0.3078284282182409,37870,32688
0.06,0.19999999999999998,1406241.53075,106390329.79056,206880.0,108003451.32131001,-50063032.76131001,0.9637795275590552,41376,33151,0.3503234327903275,0.28068378094625257,41028,29530
0.06,0.22,1503848.0929999999,97691782.94440001,220710.0,99416341.0374,-41475922.477400005,0.9621186023622048,44142,30385,0.3737426761946693,0.2572645375419108,43749,26809
0.06,0.24,1647149.57075,90643333.34968,232450.0,92522932.92043,-34582514.36043,0.9604945866141732,46490,28037,0.39362278592474687,0.23738442781183325,46053,24505
0.06,0.26,1717537.87175,84451000.32958,242820.0,86411358.20132999,-28470939.64132999,0.9592027559055117,48564,25963,0.4111829850645172,0.21982422867206286,48092,22466
