t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.02,0.02,105162.015,418037712.91349995,0.0,418142874.92849994,-360202456.36849993,0.9950787401574803,0,107463,0.0,0.909870626883869,0,103419
0.02,0.04,132797.40675,368567241.44631994,93920.0,368793958.85306996,-310853540.29306996,0.9940083661417323,18784,88679,0.15904087784062046,0.7508297490432485,18755,84664
0.02,0.06,208723.55099999998,327711166.57000005,164680.0,328084570.12100005,-270144151.56100005,0.992310531496063,32936,74527,0.2788634131472889,0.6310072137365801,32861,70558
0.02,0.08,278627.1045,294835259.78976995,216190.0,295330076.89426994,-237389658.33426994,0.9906496062992126,43238,64225,0.36608866461205,0.543781962271819,43118,60301
0.02,0.1,379063.53900000005,267271623.64372998,256015.0,267906702.18273,-209966283.62273,0.9885088582677166,51203,56260,0.4335269414434247,0.47634368544044436,51025,52394
0.02,0.12000000000000001,501408.63375,242076115.30527,288640.0,242866163.93901998,-184925745.37901998,0.9868110236220473,57728,49735,0.4887729874352288,0.4210976394486402,57504,45915
0.02,0.13999999999999999,579562.92225,220896704.44833997,314895.0,221791162.37058997,-163850743.81058997,0.9848548228346456,62979,44484,0.5332322958648017,0.3766383310190673,62702,40717
0.02,0.16,642239.871,201470067.49356,337125.0,202449432.36455998,-144509013.80455998,0.9828986220472441,67425,40038,0.5708758085819758,0.3389948183018932,67095,36324
0.02,0.18,719499.8047499999,185453611.21220997,355530.0,186528641.01695997,-128588222.45695996,0.9812376968503937,71106,36357,0.602042198665628,0.3078284282182409,70731,32688
0.02,0.19999999999999998,819392.82675,170187683.96734,371560.0,171378636.79409,-113438218.23409,0.9794660433070866,74312,33151,0.6291868459376164,0.28068378094625257,73889,29530
0.02,0.22,916999.389,156675116.8981,385390.0,157977506.2871,-100037087.72709998,0.9778051181102363,77078,30385,0.6526060893419582,0.2572645375419108,76610,26809
0.02,0.24,1060300.8667499998,145708919.30602,397130.0,147166350.17277,-89225931.61276999,0.9761811023622047,79426,28037,0.6724861990720358,0.23738442781183325,78914,24505
0.02,0.26,1130689.16775,136072158.57586998,407500.0,137610347.74361998,-79669929.18361998,0.9748892716535432,81500,25963,0.6900463982118061,0.21982422867206286,80953,22466
0.02,0.28,1224730.0004999998,126679453.78226998,417225.0,128321408.78276998,-70380990.22276998,0.9732652559055118,83445,24018,0.7065143766721983,0.20335625021167067,82854,20565
0.02,0.30000000000000004,1351672.0597499998,119158704.60119998,425755.0,120936131.66094999,-62995713.10094999,0.9714197834645669,85151,22312,0.7209587834863007,0.18891184339756834,84510,18909
0.02,0.32,1550623.3005,111290620.05158001,433785.0,113275028.35208002,-55334609.792080015,0.9689837598425196,86757,20706,0.7345565076032107,0.17531411928065838,86050,17369
0.02,0.34,1660576.67025,104388801.67396998,441155.0,106490533.34421998,-48550114.78421998,0.9672859251968504,88231,19232,0.7470366105598266,0.1628340163240424,87478,15941
0.02,0.36000000000000004,1781880.6134999995,98435983.98448,447485.0,100665349.59798,-42724931.03797999,0.9655511811023622,89497,17966,0.7577556135062824,0.15211501337758662,88697,14722
0.02,0.38,1855849.9964999997,93065939.01416999,453305.0,95375094.01066999,-37434675.45066999,0.9641486220472442,90661,16802,0.7676110001016019,0.14225962678226708,89823,13596
0.02,0.4,1940195.4262499998,88007393.92044,458825.0,90406414.34669,-32465995.786689997,0.962376968503937,91765,15698,0.776958377078606,0.13291224980526298,90879,12540
0.02,0.42000000000000004,2062023.2557499998,83944070.17045,463700.0,86469793.4262,-28529374.8662,0.960568405511811,92740,14723,0.7852135333762319,0.12465709350763708,91805,11614
0.02,0.44,2151666.6217499995,79602495.71099001,468590.0,82222752.33274001,-24282333.772740006,0.9585383858267716,93718,13745,0.7934940901547736,0.1163765367290954,92728,10691
0.02,0.46,2329652.436,75566442.05436,473145.0,78369239.49036,-20428820.930360004,0.9562130905511812,94629,12834,0.8012073695261963,0.10866325735767264,93576,9843
0.02,0.48000000000000004,2425597.1572499997,72158994.98981,477215.0,75061807.14706,-17121388.587060004,0.9542199803149606,95443,12020,0.8080993666813425,0.1017712602025265,94336,9083
0.02,0.5,2565467.832,68723229.04615,481175.0,71769871.87815,-13829453.318149999,0.9517101377952756,96235,11228,0.8148050936431063,0.0950655332407627,95060,8359
0.02,0.52,2699486.898,64841754.78867,485030.0,68026271.68667,-10085853.126670003,0.9496432086614173,97006,10457,0.8213330172384598,0.08853760964540928,95775,7644
0.02,0.54,2856509.7795,61312316.51983,488690.0,64657516.29933,-6717097.739330001,0.9470595472440945,97738,9725,0.8275307345819081,0.08233989230196091,96437,6982
0.02,0.56,3051891.97725,58183725.08028,492180.0,61727797.05753,-3787378.4975299984,0.9445866141732284,98436,9027,0.833440579808311,0.07643004707555796,97068,6351
0.02,0.5800000000000001,3260119.2644999996,55234704.46391,495280.0,58990103.72841,-1049685.1684099957,0.9421136811023622,99056,8407,0.8386900125309039,0.07118061435296508,97621,5798
0.02,0.6,3404706.9240000006,52500613.99853,498105.0,56403425.92253,1536992.6374699995,0.9398622047244094,99621,7842,0.843473769770041,0.06639685711382802,98125,5294
0.02,0.62,3540381.318,49789461.45198,501000.0,53830842.76998,4109575.790020004,0.9373892716535434,100200,7263,0.848376062586785,0.061494564297084026,98637,4782
0.02,0.64,3708458.4352499996,47572887.53277,503635.0,51784980.96802,6155437.591980003,0.9348794291338582,100727,6736,0.852838080400989,0.05703254648288007,99096,4323
0.02,0.66,3892882.4467499997,45079293.999630004,506315.0,49478491.446380004,8461927.113619998,0.9321481299212598,101263,6200,0.8573762996579402,0.05249432722592881,99558,3861
0.02,0.68,4025893.9057499995,42542373.8229,508755.0,47077022.728649996,10863395.831350006,0.9300812007874015,101751,5712,0.8615081112202391,0.048362515663629896,99990,3429
0.02,0.7000000000000001,4276149.308999999,40173604.50903,511365.0,44961118.81803,12979299.741970003,0.9270915354330708,102273,5190,0.8659277948995834,0.04394283198428557,100431,2988
0.02,0.7200000000000001,4512571.236,37930397.49483,513745.0,42956713.73083,14983704.829170004,0.9238065944881889,102749,4714,0.8699580045382193,0.03991262234564975,100818,2601
0.02,0.74,4759559.31,35757221.66635,515860.0,41032640.97635,16907777.58365,0.9208907480314961,103172,4291,0.8735394723473431,0.03633115453652589,101162,2257
0.02,0.76,5024680.876499999,33706620.40578999,518085.0,39249386.28229,18691032.277710006,0.9175319881889764,103617,3846,0.8773072103498493,0.03256341653401971,101516,1903
0.02,0.78,5300542.75725,31934151.89797,519900.0,37754594.65522,20185823.90478,0.914431594488189,103980,3483,0.8803806685406577,0.0294899583432113,101795,1624
0.02,0.8,5532225.650249999,30335430.90877,521820.0,36389476.55902,21550942.000980005,0.9111097440944882,104364,3099,0.8836319300978766,0.026238696785992482,102089,1330
