threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.001,4064,114042,0,2,0.034409767496994224,1.0,0.06653024474093476,0.0,634174282.6060001,634174282.6060001,-576233864.046
0.00350125313283208,4064,113834,0,210,0.03447047447793856,1.0,0.06664370869615127,0.0,633601289.672,633601289.672,-575660871.112
0.00600250626566416,4063,113254,1,790,0.03463266193305318,0.999753937007874,0.06694622716899679,5278.25,631757378.954,631762657.204,-573822238.644
0.008503759398496239,4057,112265,7,1779,0.034877323292240504,0.9982775590551181,0.06739986377153488,34528.225000000006,628200286.2459999,628234814.471,-570294395.911
0.01100501253132832,4052,110804,12,3240,0.03527895799958208,0.9970472440944882,0.06814665321224353,55020.475,622900140.2680001,622955160.7430001,-565014742.1830001
0.0135062656641604,4050,109011,14,5033,0.03582137076445459,0.9965551181102362,0.06915688367129136,67729.26,616168810.1459999,616236539.4059999,-558296120.846
0.01600751879699248,4047,106914,17,7130,0.03647227404223105,0.9958169291338582,0.07036731145403172,81800.515,608472676.412,608554476.9269999,-550614058.3669999
0.01850877192982456,4045,104773,19,9271,0.037172159017809556,0.9953248031496063,0.07166775925302529,101537.015,600425674.0380001,600527211.0530001,-542586792.493
0.021010025062656642,4044,102438,20,11606,0.037978249845044235,0.9950787401574803,0.07316411267707561,105162.015,591604240.094,591709402.109,-533768983.54899997
0.023511278195488722,4040,99743,24,14301,0.03892737731613077,0.9940944881889764,0.07492095283132587,132248.22,581287927.5119998,581420175.7319999,-523479757.1719999
0.026012531328320803,4034,97151,30,16893,0.03986756930375056,0.9926181102362205,0.07665631027373182,171171.11000000002,570979869.0280001,571151040.1380001,-513210621.5780001
0.028513784461152884,4030,94667,34,19377,0.04083204150075483,0.9916338582677166,0.07843442551162405,190994.83000000002,561403196.02,561594190.85,-503653772.29
0.03101503759398496,4028,92380,36,21664,0.041780765081735956,0.9911417322834646,0.08018154311649017,206570.58,551904656.3339999,552111226.9139999,-494170808.3539999
0.03351629072681704,4025,90146,39,23898,0.04274139597115885,0.9904035433070866,0.0819463531327938,220469.62500000003,542896689.9719999,543117159.5969999,-485176741.0369999
0.03601754385964912,4025,88019,39,26025,0.04372908608926166,0.9904035433070866,0.0837599367378366,220469.62500000003,533666591.816,533887061.441,-475946642.881
0.0385187969924812,4018,85892,46,28152,0.04468913357802247,0.9886811023622047,0.08551301423798072,263235.71,524081398.91800016,524344634.62800014,-466404216.06800014
0.04102005012531328,4013,83825,51,30219,0.04568637719438057,0.9874507874015748,0.08733215816848383,299616.245,514896627.736,515196243.981,-457255825.421
0.043521303258145363,4005,81823,59,32221,0.046663093629118704,0.9854822834645669,0.08910692831397676,363384.645,506182616.89,506546001.53499997,-448605582.97499996
0.046022556390977444,4001,79932,63,34112,0.047668974062645204,0.984498031496063,0.09093491823584894,402007.64499999996,497981521.418,498383529.06299996,-440443110.50299996
0.048523809523809525,3997,78058,67,35986,0.04871123027237828,0.983513779527559,0.09282504441528583,436044.895,489696316.984,490132361.879,-432191943.319
0.051025062656641605,3990,76324,74,37720,0.049680005976542076,0.9817913385826772,0.09457441513190644,639456.645,482079814.464,482719271.10899997,-424778852.54899997
0.053526315789473686,3985,74619,79,39425,0.05069716553864943,0.9805610236220472,0.09640973532684956,669232.85,474216801.27,474886034.12,-416945615.56
0.056027568922305766,3977,72986,87,41058,0.0516741811000091,0.9785925196850394,0.09816480926111051,728260.205,466996498.41800004,467724758.623,-409784340.063
0.05852882205513785,3972,71443,92,42601,0.052668567261154944,0.9773622047244095,0.0999509304344544,752401.505,459859823.32400006,460612224.82900006,-402671806.26900005
0.06103007518796992,3966,69943,98,44101,0.053660582608342694,0.9758858267716536,0.10172752106498405,819448.005,452761277.9480001,453580725.95300007,-395640307.39300007
0.06353132832080201,3959,68494,105,45550,0.05464231984872952,0.9741633858267716,0.1034802723577767,982680.2550000001,445744834.786,446727515.041,-388787096.481
0.06603258145363408,3953,67156,111,46888,0.05559071284928771,0.9726870078740157,0.1051707394942333,1033365.1050000001,439384402.186,440417767.291,-382477348.731
0.06853383458646617,3944,65818,120,48226,0.056535076402626075,0.9704724409448819,0.10684582667352967,1112217.355,432908932.626,434021149.981,-376080731.421
0.07103508771929824,3941,64532,123,49512,0.05755553283776087,0.9697342519685039,0.10866178639866551,1140768.105,426455619.28800005,427596387.39300007,-369655968.83300006
0.07353634085213033,3936,63260,128,50784,0.058574915173522236,0.968503937007874,0.11046870614650575,1176564.605,420262083.29800004,421438647.90300006,-363498229.34300005
0.0760375939849624,3933,62110,131,51934,0.0595521099889466,0.9677657480314961,0.11219992297488125,1195803.605,414653895.27800006,415849698.8830001,-357909280.3230001
0.07853884711779449,3929,60940,135,53104,0.060568222109173876,0.9667814960629921,0.11399474852392903,1232739.355,408587215.09,409819954.445,-351879535.885
0.08104010025062656,3920,59846,144,54198,0.061474767117272525,0.9645669291338582,0.11558307533539731,1321772.225,403547821.73800004,404869593.96300006,-346929175.40300006
0.08354135338345864,3916,58739,148,55305,0.06250099752613518,0.9635826771653543,0.1173878505373282,1343917.975,397874352.504,399218270.47900003,-341277851.919
0.08604260651629073,3911,57703,153,56341,0.06347583341448372,0.9623523622047244,0.11909619659551143,1367700.915,392513047.90400004,393880748.81900007,-335940330.25900006
